,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,irWebsite,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Mr. Timothy D. Cook', 'age': 62, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 16239562, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
1,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Mr. Luca  Maestri', 'age': 60, 'title': 'CFO & Senior VP', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 4612242, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
2,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Mr. Jeffrey E. Williams', 'age': 59, 'title': 'Chief Operating Officer', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4637585, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
3,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Ms. Katherine L. Adams', 'age': 59, 'title': 'Senior VP, General Counsel & Secretary', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4618064, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
4,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': ""Ms. Deirdre  O'Brien"", 'age': 56, 'title': 'Senior Vice President of Retail', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 4613369, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
5,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Mr. Chris  Kondo', 'title': 'Senior Director of Corporate Accounting', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
6,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Mr. James  Wilson', 'title': 'Chief Technology Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
7,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Suhasini  Chandramouli', 'title': 'Director of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
8,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Mr. Greg  Joswiak', 'title': 'Senior Vice President of Worldwide Marketing', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
9,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",161000,"{'maxAge': 1, 'name': 'Mr. Adrian  Perica', 'age': 49, 'title': 'Head of Corporate Development', 'yearBorn': 1974, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1714521600,1703980800,http://investor.apple.com/,86400,2,173.03,186.67,182.66,187.0,173.03,186.67,182.66,187.0,0.96,0.0055,1707436800,0.14770001,0.73,1.276,28.76941,25.985271,99487336,99487336,61548179,58644270,58644270,185.29,185.46,200,100,2860997935104,164.08,199.62,7.4175615,172.4082,181.24574,0.95,0.0054903775,USD,2706848612352,0.26163,15414548871,15441899520,101912593,110863064,1710460800,1713139200,0.0066000004,0.059359998,0.56738,1.58,0.0066000004,15759800320,4.793,38.655327,1696032000,1727654400,1703894400,0.131,100912996352,6.44,7.13,2.41,4:1,1598832000,7.018,20.804,-0.003111124,0.22434568,0.24,1707436800,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,185.275,250.0,158.0,198.9,200.0,2.2,buy,39,73100001280,4.734,130108997632,108040003584,0.92,1.073,385706000384,145.803,24.648,0.21181,1.5426899,86563127296,116433002496,0.16,0.021,0.45027,0.33733,0.33764,USD,2.1497
