,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Mr. Sundar  Pichai', 'age': 50, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 8802824, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
1,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Ms. Ruth M. Porat', 'age': 65, 'title': 'President, Chief Investment Officer, Senior VP & CFO', 'yearBorn': 1958, 'fiscalYear': 2023, 'totalPay': 2515700, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
2,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Dr. Lawrence Edward Page II', 'age': 50, 'title': 'Co-Founder & Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
3,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Mr. Sergey  Brin', 'age': 49, 'title': 'Co-Founder & Director', 'yearBorn': 1974, 'fiscalYear': 2023, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
4,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Mr. J. Kent Walker', 'age': 62, 'title': 'President of Global Affairs, Chief Legal Officer & Company Secretary', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 2511737, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
5,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Dr. Prabhakar  Raghavan', 'age': 62, 'title': 'Senior Vice President of Knowledge and Information - Google', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 2511737, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
6,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': ""Ms. Amie Thuener O'Toole"", 'age': 47, 'title': 'Chief Accounting Officer & VP', 'yearBorn': 1976, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
7,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Ms. Ellen  West', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
8,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Ms. Fiona Clare Cicconi', 'age': 57, 'title': 'Chief People Officer', 'yearBorn': 1966, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
9,1600 Amphitheatre Parkway,Mountain View,CA,94043,United States,650 253 0000,https://abc.xyz,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",180895,"{'maxAge': 1, 'name': 'Ms. Ivy  Ross', 'age': 67, 'title': 'VP & Head of Design for all Hardware Products', 'yearBorn': 1956, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,10,10,10,1714521600,1703980800,86400,2,166.62,167.56,163.05,167.96,166.62,167.56,163.05,167.96,0.8,0.0047999998,1717977600,1.054,25.650309,19.514587,34159454,34159454,31202370,36130170,36130170,167.2,167.26,100,100,2076669378560,104.11,174.71,6.52741,149.5376,138.9849,USD,1979375943680,0.25902,11025684020,5873999872,58724354,58010335,1710460800,1713139200,0.0047,0.00253,0.80681,2.05,0.01,12417300480,23.653,7.0705624,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.12,20:1,1658102400,6.222,18.04,0.5782893,0.22434568,NMS,EQUITY,GOOGL,GOOGL,Alphabet Inc.,Alphabet Inc.,1092922200,America/New_York,EDT,e15ce71f-f533-3912-9f11-a46c09e2412b,finmb_29096,-14400000,167.24,225.0,114.76,189.82,195.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5059
